id,gjennomforing_id,innsatsbehov,start_dato,slutt_dato
deltaker743,gjennomføring106,S.Tilpasset,2016-04-26,2016-11-11
deltaker744,gjennomføring190,S.Tilpasset,2013-12-16,2015-05-10
deltaker745,gjennomføring75,S.Tilpasset,2020-04-16,2021-05-16
deltaker746,gjennomføring186,Landegruppe3,2024-06-20,2025-03-19
deltaker747,gjennomføring150,S.Tilpasset,2020-08-26,2024-03-25
deltaker748,gjennomføring13,S.Tilpasset,2019-11-08,2019-11-29
deltaker749,gjennomføring162,S.Bestemt,2022-06-13,2022-09-19
deltaker750,gjennomføring96,Landegruppe3,2013-05-30,2013-12-12
deltaker751,gjennomføring47,S.Bestemt,2010-12-07,2014-02-01
deltaker752,gjennomføring71,Landegruppe3,2022-04-15,2022-12-19
deltaker753,gjennomføring24,Landegruppe3,2010-12-12,2011-05-20
deltaker754,gjennomføring195,Landegruppe3,2016-06-03,2016-07-09
deltaker755,gjennomføring22,S.Bestemt,2014-04-27,2014-08-27
deltaker756,gjennomføring81,S.Tilpasset,2018-04-12,2018-05-28
deltaker757,gjennomføring59,S.Tilpasset,2023-01-11,2024-06-15
deltaker758,gjennomføring53,S.Bestemt,2013-10-17,2014-10-31
deltaker759,gjennomføring36,S.Bestemt,2024-10-06,2025-07-20
deltaker760,gjennomføring147,S.Bestemt,2022-07-29,2022-10-27
deltaker761,gjennomføring11,Landegruppe3,2023-10-13,2023-10-18
deltaker762,gjennomføring48,Landegruppe3,2016-11-03,2018-06-19
deltaker763,gjennomføring171,S.Tilpasset,2024-06-19,2025-01-21
deltaker764,gjennomføring118,S.Bestemt,2020-03-03,2020-03-04
deltaker765,gjennomføring157,S.Tilpasset,2015-05-21,2019-01-09
deltaker766,gjennomføring158,S.Bestemt,2018-11-27,2019-10-25
deltaker767,gjennomføring178,Landegruppe3,2023-05-03,2023-06-10
deltaker768,gjennomføring151,S.Tilpasset,2013-07-14,2013-08-24
deltaker769,gjennomføring160,Landegruppe3,2019-07-27,2019-08-09
deltaker770,gjennomføring139,S.Tilpasset,2023-09-25,2023-12-14
deltaker771,gjennomføring168,Landegruppe3,2022-05-24,2022-06-04
deltaker772,gjennomføring146,S.Bestemt,2023-04-28,2023-05-04
deltaker773,gjennomføring83,Landegruppe3,2023-01-02,2023-09-30
deltaker774,gjennomføring0,Landegruppe3,2019-07-19,2022-11-22
deltaker775,gjennomføring29,S.Tilpasset,2018-05-16,2018-09-23
deltaker776,gjennomføring88,S.Tilpasset,2023-01-06,2024-05-18
deltaker777,gjennomføring19,S.Tilpasset,2016-08-15,2017-11-15
deltaker778,gjennomføring22,S.Bestemt,2015-12-22,2017-10-31
deltaker779,gjennomføring170,Landegruppe3,2025-01-25,2025-04-07
deltaker780,gjennomføring148,S.Bestemt,2025-09-05,2025-10-27
deltaker781,gjennomføring77,Landegruppe3,2016-05-05,2016-08-12
deltaker782,gjennomføring81,S.Tilpasset,2016-05-30,2016-11-29
deltaker783,gjennomføring79,Landegruppe3,2011-12-25,2015-01-08
deltaker784,gjennomføring75,Landegruppe3,2020-03-19,2021-05-03
deltaker785,gjennomføring102,S.Tilpasset,2013-02-19,2017-10-25
deltaker786,gjennomføring59,Landegruppe3,2021-06-05,2021-08-31
deltaker787,gjennomføring71,S.Tilpasset,2022-03-18,2022-04-10
deltaker788,gjennomføring190,Landegruppe3,2012-10-27,2014-08-08
deltaker789,gjennomføring199,S.Bestemt,2020-08-05,2021-02-04
deltaker790,gjennomføring85,S.Bestemt,2024-08-20,2025-05-04
deltaker791,gjennomføring161,S.Tilpasset,2026-09-26,2026-10-06
deltaker792,gjennomføring62,S.Bestemt,2016-07-23,2018-07-15
deltaker793,gjennomføring184,S.Bestemt,2018-11-12,2019-10-15
deltaker794,gjennomføring16,S.Bestemt,2024-05-20,2026-04-02
deltaker795,gjennomføring58,S.Bestemt,2013-03-07,2015-04-01
deltaker796,gjennomføring65,S.Tilpasset,2013-11-05,2013-11-15
deltaker797,gjennomføring177,Landegruppe3,2018-04-03,2019-11-29
deltaker798,gjennomføring149,S.Bestemt,2021-04-05,2021-08-13
deltaker799,gjennomføring92,Landegruppe3,2023-07-15,2023-08-20
deltaker800,gjennomføring41,Landegruppe3,2026-10-27,2026-11-13
deltaker801,gjennomføring142,Landegruppe3,2021-07-28,2021-08-05
deltaker802,gjennomføring181,S.Bestemt,2018-02-12,2020-04-17
deltaker803,gjennomføring44,Landegruppe3,2019-11-09,2022-05-31
deltaker804,gjennomføring64,S.Tilpasset,2009-07-03,2009-07-09
deltaker805,gjennomføring78,S.Tilpasset,2023-05-08,2024-05-20
deltaker806,gjennomføring30,Landegruppe3,2016-07-13,2017-04-20
deltaker807,gjennomføring11,S.Bestemt,2023-08-23,2023-10-14
deltaker808,gjennomføring110,S.Bestemt,2022-12-08,2022-12-23
deltaker809,gjennomføring79,S.Tilpasset,2013-05-29,2015-07-15
deltaker810,gjennomføring88,S.Tilpasset,2024-02-06,2024-05-11
deltaker811,gjennomføring109,S.Bestemt,2015-08-21,2015-09-05
deltaker812,gjennomføring35,S.Tilpasset,2015-06-10,2017-10-23
deltaker813,gjennomføring98,S.Bestemt,2016-06-16,2021-01-07
deltaker814,gjennomføring3,S.Tilpasset,2019-05-16,2022-05-29
deltaker815,gjennomføring45,Landegruppe3,2020-10-03,2021-02-12
deltaker816,gjennomføring150,Landegruppe3,2021-05-03,2022-01-01
deltaker817,gjennomføring16,S.Tilpasset,2019-11-08,2026-03-23
deltaker818,gjennomføring104,S.Bestemt,2015-09-09,2015-12-24
deltaker819,gjennomføring15,Landegruppe3,2019-10-02,2020-07-27
deltaker820,gjennomføring168,S.Bestemt,2021-09-11,2021-12-05
deltaker821,gjennomføring1,S.Tilpasset,2023-08-05,2024-02-29
deltaker822,gjennomføring25,S.Bestemt,2025-05-24,2025-06-03
deltaker823,gjennomføring73,Landegruppe3,2010-11-09,2015-11-04
deltaker824,gjennomføring4,S.Bestemt,2025-12-29,2026-02-21
deltaker825,gjennomføring103,S.Tilpasset,2018-02-08,2021-02-02
deltaker826,gjennomføring50,Landegruppe3,2019-05-02,2019-08-29
deltaker827,gjennomføring19,S.Tilpasset,2018-06-07,2018-12-08
deltaker828,gjennomføring70,S.Tilpasset,2019-01-07,2019-06-05
deltaker829,gjennomføring8,S.Bestemt,2019-07-07,2020-07-26
deltaker830,gjennomføring69,Landegruppe3,2023-07-16,2023-11-23
deltaker831,gjennomføring112,Landegruppe3,2012-12-30,2013-08-17
deltaker832,gjennomføring20,Landegruppe3,2020-06-10,2020-07-23
deltaker833,gjennomføring77,S.Tilpasset,2015-10-05,2016-04-29
deltaker834,gjennomføring77,Landegruppe3,2015-01-27,2015-04-05
deltaker835,gjennomføring18,S.Tilpasset,2023-03-31,2025-01-06
deltaker836,gjennomføring85,Landegruppe3,2024-12-18,2025-05-18
deltaker837,gjennomføring7,Landegruppe3,2025-07-24,2025-08-10
deltaker838,gjennomføring38,Landegruppe3,2016-08-01,2020-09-16
deltaker839,gjennomføring11,Landegruppe3,2023-09-18,2023-10-12
deltaker840,gjennomføring62,S.Tilpasset,2016-12-29,2018-11-14
deltaker841,gjennomføring172,S.Bestemt,2025-09-27,2026-01-02
deltaker842,gjennomføring73,S.Bestemt,2011-04-25,2011-12-18
deltaker843,gjennomføring75,S.Bestemt,2020-07-31,2021-10-15
deltaker844,gjennomføring28,S.Tilpasset,2026-04-26,2026-08-04
deltaker845,gjennomføring70,S.Bestemt,2018-11-16,2019-09-06
deltaker846,gjennomføring117,S.Bestemt,2018-02-08,2024-03-19
deltaker847,gjennomføring95,Landegruppe3,2013-04-21,2014-12-02
deltaker848,gjennomføring165,S.Bestemt,2011-09-05,2011-09-18
deltaker849,gjennomføring76,S.Tilpasset,2018-10-27,2019-07-02
deltaker850,gjennomføring97,S.Tilpasset,2011-04-23,2011-12-30
deltaker851,gjennomføring139,S.Tilpasset,2018-12-12,2019-11-12
deltaker852,gjennomføring151,Landegruppe3,2013-08-31,2013-09-29
deltaker853,gjennomføring176,S.Tilpasset,2026-12-03,2026-12-05
deltaker854,gjennomføring147,Landegruppe3,2022-12-27,2023-04-08
deltaker855,gjennomføring185,Landegruppe3,2015-02-02,2015-04-30
deltaker856,gjennomføring48,Landegruppe3,2014-12-06,2015-11-02
deltaker857,gjennomføring0,S.Bestemt,2019-08-29,2023-05-19
deltaker858,gjennomføring4,S.Bestemt,2025-12-05,2026-05-22
deltaker859,gjennomføring145,S.Tilpasset,2014-11-22,2015-10-19
deltaker860,gjennomføring107,S.Tilpasset,2023-12-25,2023-12-27
deltaker861,gjennomføring180,Landegruppe3,2015-06-22,2018-07-27
deltaker862,gjennomføring113,Landegruppe3,2012-04-24,2012-09-23
deltaker863,gjennomføring69,S.Bestemt,2023-06-23,2023-10-14
deltaker864,gjennomføring174,S.Bestemt,2026-03-28,2026-05-08
deltaker865,gjennomføring91,S.Tilpasset,2014-03-26,2015-05-27
deltaker866,gjennomføring168,S.Tilpasset,2022-02-24,2022-05-29
deltaker867,gjennomføring16,S.Tilpasset,2021-08-20,2025-03-09
deltaker868,gjennomføring59,S.Bestemt,2022-08-29,2024-05-21
deltaker869,gjennomføring141,S.Bestemt,2012-09-19,2014-08-24
deltaker870,gjennomføring156,S.Tilpasset,2022-11-28,2023-01-17
deltaker871,gjennomføring179,Landegruppe3,2011-01-05,2018-07-31
deltaker872,gjennomføring108,S.Bestemt,2024-11-01,2025-02-10
deltaker873,gjennomføring65,Landegruppe3,2013-09-11,2013-09-23
deltaker874,gjennomføring63,Landegruppe3,2026-09-16,2026-10-01
deltaker875,gjennomføring48,S.Tilpasset,2018-06-03,2018-06-07
deltaker876,gjennomføring68,S.Bestemt,2025-09-24,2026-01-14
deltaker877,gjennomføring134,S.Bestemt,2024-08-02,2025-12-28
deltaker878,gjennomføring102,S.Bestemt,2020-01-22,2024-04-02
deltaker879,gjennomføring175,S.Bestemt,2014-02-11,2016-08-22
deltaker880,gjennomføring124,Landegruppe3,2017-02-17,2019-01-18
deltaker881,gjennomføring6,S.Tilpasset,2026-01-11,2026-01-22
deltaker882,gjennomføring36,Landegruppe3,2021-03-06,2021-12-09
deltaker883,gjennomføring169,Landegruppe3,2026-06-13,2026-11-05
deltaker884,gjennomføring169,S.Bestemt,2026-04-24,2026-09-20
deltaker885,gjennomføring121,S.Tilpasset,2024-01-07,2024-12-15
deltaker886,gjennomføring178,S.Tilpasset,2023-05-16,2023-06-10
deltaker887,gjennomføring124,S.Bestemt,2021-06-15,2023-01-07
deltaker888,gjennomføring134,Landegruppe3,2024-11-04,2025-02-16
deltaker889,gjennomføring119,S.Tilpasset,2018-08-19,2018-12-29
deltaker890,gjennomføring190,S.Bestemt,2014-01-08,2015-05-19
deltaker891,gjennomføring190,S.Tilpasset,2013-01-02,2013-02-03
deltaker892,gjennomføring190,S.Tilpasset,2012-05-25,2014-03-15
deltaker893,gjennomføring195,S.Bestemt,2021-07-31,2022-07-17
deltaker894,gjennomføring136,Landegruppe3,2026-07-10,2026-08-01
deltaker895,gjennomføring112,S.Bestemt,2014-05-06,2015-12-01
deltaker896,gjennomføring167,S.Bestemt,2024-11-21,2025-03-21
deltaker897,gjennomføring39,S.Bestemt,2021-11-13,2022-05-24
deltaker898,gjennomføring48,Landegruppe3,2015-12-31,2016-04-05
deltaker899,gjennomføring80,Landegruppe3,2025-04-22,2025-10-18
deltaker900,gjennomføring60,S.Bestemt,2022-02-07,2024-08-20
deltaker901,gjennomføring56,S.Bestemt,2022-07-20,2022-09-09
deltaker902,gjennomføring1,S.Tilpasset,2023-11-03,2023-11-28
deltaker903,gjennomføring140,S.Bestemt,2021-02-06,2021-05-25
deltaker904,gjennomføring111,S.Tilpasset,2010-05-02,2010-06-12
deltaker905,gjennomføring102,S.Tilpasset,2017-04-22,2018-05-05
deltaker906,gjennomføring97,Landegruppe3,2011-11-30,2012-01-16
deltaker907,gjennomføring181,Landegruppe3,2015-05-31,2020-12-18
deltaker908,gjennomføring119,S.Tilpasset,2018-11-26,2019-01-02
deltaker909,gjennomføring47,S.Tilpasset,2010-01-09,2011-09-21
deltaker910,gjennomføring43,Landegruppe3,2026-02-27,2026-04-12
deltaker911,gjennomføring111,S.Tilpasset,2009-08-22,2010-04-12
deltaker912,gjennomføring57,S.Tilpasset,2022-01-27,2022-02-11
deltaker913,gjennomføring12,Landegruppe3,2024-01-29,2025-11-07
deltaker914,gjennomføring3,Landegruppe3,2019-01-13,2022-02-02
deltaker915,gjennomføring64,S.Tilpasset,2009-06-05,2009-06-22
deltaker916,gjennomføring65,S.Tilpasset,2013-07-17,2013-09-03
deltaker917,gjennomføring83,Landegruppe3,2023-11-20,2025-06-11
deltaker918,gjennomføring66,S.Bestemt,2022-10-24,2024-04-22
deltaker919,gjennomføring104,S.Bestemt,2015-11-25,2016-03-09
deltaker920,gjennomføring184,S.Tilpasset,2020-02-29,2020-03-23
deltaker921,gjennomføring116,S.Tilpasset,2009-12-24,2010-05-22
deltaker922,gjennomføring100,S.Tilpasset,2024-03-31,2025-12-31
deltaker923,gjennomføring60,S.Tilpasset,2026-02-04,2026-05-21
deltaker924,gjennomføring197,S.Bestemt,2023-12-18,2024-07-21
deltaker925,gjennomføring100,S.Bestemt,2025-05-28,2025-08-04
deltaker926,gjennomføring168,Landegruppe3,2022-02-06,2022-05-20
deltaker927,gjennomføring48,S.Tilpasset,2014-05-23,2018-01-02
deltaker928,gjennomføring46,S.Tilpasset,2016-04-08,2018-02-05
deltaker929,gjennomføring137,S.Tilpasset,2017-03-06,2018-02-23
deltaker930,gjennomføring67,Landegruppe3,2021-09-11,2022-11-25
deltaker931,gjennomføring38,Landegruppe3,2019-09-20,2025-01-21
deltaker932,gjennomføring50,S.Tilpasset,2018-11-27,2018-12-16
deltaker933,gjennomføring193,S.Bestemt,2023-07-28,2024-04-19
deltaker934,gjennomføring126,S.Bestemt,2015-05-25,2015-10-07
deltaker935,gjennomføring184,Landegruppe3,2019-08-11,2019-12-09
deltaker936,gjennomføring173,S.Tilpasset,2013-09-07,2016-01-23
deltaker937,gjennomføring144,S.Tilpasset,2010-04-07,2010-05-04
deltaker938,gjennomføring155,S.Bestemt,2018-02-11,2018-07-26
deltaker939,gjennomføring129,Landegruppe3,2013-01-02,2013-06-13
deltaker940,gjennomføring74,S.Bestemt,2026-08-31,2026-09-30
deltaker941,gjennomføring42,S.Tilpasset,2024-11-17,2026-10-29
deltaker942,gjennomføring5,Landegruppe3,2024-05-06,2024-05-07
deltaker943,gjennomføring110,Landegruppe3,2023-01-07,2023-01-09
deltaker944,gjennomføring167,S.Tilpasset,2025-04-27,2025-05-04
deltaker945,gjennomføring166,Landegruppe3,2015-12-08,2021-08-26
deltaker946,gjennomføring40,S.Bestemt,2022-09-30,2023-03-19
deltaker947,gjennomføring38,Landegruppe3,2021-12-11,2023-08-30
deltaker948,gjennomføring76,S.Bestemt,2018-11-06,2018-12-14
deltaker949,gjennomføring10,Landegruppe3,2021-07-29,2025-06-13
deltaker950,gjennomføring12,S.Tilpasset,2025-03-29,2026-02-14
deltaker951,gjennomføring124,Landegruppe3,2018-09-01,2021-11-24
deltaker952,gjennomføring1,Landegruppe3,2023-06-15,2023-12-12
deltaker953,gjennomføring20,Landegruppe3,2013-06-24,2017-12-05
deltaker954,gjennomføring33,S.Tilpasset,2018-12-03,2020-05-24
deltaker955,gjennomføring52,Landegruppe3,2019-09-14,2020-06-19
deltaker956,gjennomføring72,S.Bestemt,2022-04-21,2023-08-13
deltaker957,gjennomføring117,S.Tilpasset,2018-06-25,2020-02-04
deltaker958,gjennomføring81,Landegruppe3,2017-03-10,2017-08-21
deltaker959,gjennomføring164,S.Tilpasset,2026-05-11,2026-05-21
deltaker960,gjennomføring73,S.Bestemt,2015-10-30,2016-01-20
deltaker961,gjennomføring31,S.Tilpasset,2015-11-11,2019-10-05
deltaker962,gjennomføring117,S.Tilpasset,2020-04-22,2021-12-22
deltaker963,gjennomføring40,S.Tilpasset,2026-08-22,2026-08-23
deltaker964,gjennomføring181,Landegruppe3,2015-12-31,2021-01-09
deltaker965,gjennomføring169,S.Tilpasset,2026-06-04,2026-11-05
deltaker966,gjennomføring18,Landegruppe3,2023-11-03,2024-01-23
deltaker967,gjennomføring59,S.Tilpasset,2021-06-24,2024-08-19
deltaker968,gjennomføring95,S.Tilpasset,2014-10-14,2015-06-21
deltaker969,gjennomføring0,S.Bestemt,2021-02-21,2022-07-28
deltaker970,gjennomføring126,S.Tilpasset,2017-05-08,2017-10-25
deltaker971,gjennomføring50,S.Bestemt,2019-10-12,2019-11-07
deltaker972,gjennomføring56,S.Tilpasset,2022-01-09,2022-03-01
deltaker973,gjennomføring138,Landegruppe3,2014-10-12,2015-01-20
deltaker974,gjennomføring59,S.Bestemt,2023-08-15,2025-03-16
deltaker975,gjennomføring5,S.Tilpasset,2023-08-26,2024-05-26
deltaker976,gjennomføring43,Landegruppe3,2025-10-23,2026-04-24
deltaker977,gjennomføring63,S.Tilpasset,2026-09-19,2026-10-05
deltaker978,gjennomføring54,S.Bestemt,2017-05-19,2018-05-06
deltaker979,gjennomføring43,S.Bestemt,2026-05-07,2026-06-08
deltaker980,gjennomføring145,S.Bestemt,2016-01-04,2016-01-19
deltaker981,gjennomføring194,S.Tilpasset,2013-09-12,2017-02-28
deltaker982,gjennomføring143,S.Tilpasset,2024-04-05,2025-01-21
deltaker983,gjennomføring169,S.Tilpasset,2026-05-24,2026-07-24
deltaker984,gjennomføring88,S.Bestemt,2024-05-05,2024-05-21
deltaker985,gjennomføring164,S.Tilpasset,2026-04-30,2026-05-17
deltaker986,gjennomføring84,S.Tilpasset,2026-09-03,2026-09-05
deltaker987,gjennomføring36,S.Bestemt,2019-09-15,2025-05-07
deltaker988,gjennomføring57,Landegruppe3,2019-05-13,2019-11-22
deltaker989,gjennomføring111,Landegruppe3,2009-07-20,2010-03-21
deltaker990,gjennomføring63,S.Tilpasset,2026-09-08,2026-09-11
deltaker991,gjennomføring131,S.Tilpasset,2023-03-09,2023-08-11
deltaker992,gjennomføring136,S.Bestemt,2026-06-11,2026-07-09
deltaker993,gjennomføring40,S.Tilpasset,2020-04-13,2022-02-10
deltaker994,gjennomføring108,Landegruppe3,2025-05-11,2025-06-18
deltaker995,gjennomføring164,Landegruppe3,2026-02-19,2026-04-23
deltaker996,gjennomføring169,S.Tilpasset,2026-05-05,2026-08-12
deltaker997,gjennomføring67,Landegruppe3,2025-09-16,2025-12-22
deltaker998,gjennomføring102,Landegruppe3,2018-10-19,2023-01-31
deltaker999,gjennomføring161,S.Bestemt,2026-09-25,2026-10-09
deltaker1000,gjennomføring175,S.Tilpasset,2017-06-04,2020-06-17
deltaker1001,gjennomføring38,Landegruppe3,2019-04-14,2025-04-01
deltaker1002,gjennomføring122,S.Bestemt,2026-09-23,2026-10-14
deltaker1003,gjennomføring147,S.Bestemt,2023-05-25,2023-05-27
deltaker1004,gjennomføring175,Landegruppe3,2019-01-14,2020-09-20
deltaker1005,gjennomføring128,S.Tilpasset,2025-01-29,2025-04-28
deltaker1006,gjennomføring97,S.Bestemt,2011-05-20,2011-12-18
deltaker1007,gjennomføring80,S.Bestemt,2024-10-31,2025-03-24
deltaker1008,gjennomføring89,Landegruppe3,2026-03-15,2026-04-14
deltaker1009,gjennomføring68,Landegruppe3,2024-04-09,2025-06-27
deltaker1010,gjennomføring194,S.Bestemt,2016-12-27,2017-01-15
deltaker1011,gjennomføring43,S.Bestemt,2026-04-08,2026-05-14
deltaker1012,gjennomføring58,S.Bestemt,2010-02-02,2010-12-26
deltaker1013,gjennomføring154,Landegruppe3,2025-05-08,2025-06-24
deltaker1014,gjennomføring169,Landegruppe3,2026-03-18,2026-06-25
deltaker1015,gjennomføring77,S.Bestemt,2015-12-29,2016-07-20
deltaker1016,gjennomføring105,S.Bestemt,2014-12-19,2017-11-01
deltaker1017,gjennomføring104,Landegruppe3,2016-06-23,2016-07-29
deltaker1018,gjennomføring82,S.Tilpasset,2019-01-03,2022-04-19
deltaker1019,gjennomføring59,S.Bestemt,2025-07-29,2025-08-02
deltaker1020,gjennomføring6,S.Bestemt,2026-01-28,2026-02-23
deltaker1021,gjennomføring53,S.Tilpasset,2018-06-07,2019-09-24
deltaker1022,gjennomføring199,S.Tilpasset,2022-05-26,2023-06-18
deltaker1023,gjennomføring193,Landegruppe3,2024-01-09,2024-12-31
deltaker1024,gjennomføring173,S.Bestemt,2012-05-20,2016-08-02
deltaker1025,gjennomføring123,S.Tilpasset,2024-06-22,2024-06-25
deltaker1026,gjennomføring91,S.Tilpasset,2013-06-20,2013-09-14
deltaker1027,gjennomføring37,Landegruppe3,2016-06-18,2019-02-11
deltaker1028,gjennomføring11,S.Bestemt,2023-08-18,2023-08-24
deltaker1029,gjennomføring155,S.Bestemt,2019-09-12,2019-11-29
deltaker1030,gjennomføring5,S.Tilpasset,2024-08-02,2024-10-02
deltaker1031,gjennomføring170,S.Tilpasset,2022-09-23,2023-05-13
deltaker1032,gjennomføring185,S.Bestemt,2014-12-08,2015-05-03
deltaker1033,gjennomføring49,Landegruppe3,2018-03-01,2019-03-31
deltaker1034,gjennomføring48,Landegruppe3,2015-10-25,2018-05-07
deltaker1035,gjennomføring63,S.Tilpasset,2026-10-02,2026-10-05
deltaker1036,gjennomføring68,S.Tilpasset,2023-12-17,2025-07-06
deltaker1037,gjennomføring39,Landegruppe3,2023-09-10,2023-11-01
deltaker1038,gjennomføring80,Landegruppe3,2025-08-10,2026-01-01
deltaker1039,gjennomføring44,S.Tilpasset,2023-07-25,2023-11-04
deltaker1040,gjennomføring86,S.Tilpasset,2011-01-03,2017-04-21
deltaker1041,gjennomføring14,Landegruppe3,2018-05-26,2018-06-21
deltaker1042,gjennomføring145,S.Bestemt,2014-09-24,2016-02-04
deltaker1043,gjennomføring63,S.Tilpasset,2026-09-03,2026-09-11
deltaker1044,gjennomføring159,S.Bestemt,2024-07-21,2024-12-23
deltaker1045,gjennomføring75,S.Bestemt,2022-01-18,2022-03-20
deltaker1046,gjennomføring76,Landegruppe3,2019-03-04,2019-06-26
deltaker1047,gjennomføring63,S.Tilpasset,2026-09-04,2026-10-04
deltaker1048,gjennomføring141,Landegruppe3,2012-10-04,2014-04-05
deltaker1049,gjennomføring159,S.Tilpasset,2024-09-17,2025-02-20
deltaker1050,gjennomføring153,S.Bestemt,2025-02-16,2025-02-25
deltaker1051,gjennomføring159,S.Bestemt,2024-07-02,2025-06-19
deltaker1052,gjennomføring65,Landegruppe3,2013-09-19,2013-10-17
deltaker1053,gjennomføring70,S.Bestemt,2019-10-20,2019-10-24
deltaker1054,gjennomføring93,S.Bestemt,2016-01-18,2017-09-24
deltaker1055,gjennomføring176,S.Tilpasset,2026-12-06,2026-12-08
deltaker1056,gjennomføring92,S.Tilpasset,2021-10-26,2022-03-30
deltaker1057,gjennomføring132,S.Tilpasset,2023-07-06,2026-06-07
deltaker1058,gjennomføring163,Landegruppe3,2015-11-26,2018-04-13
deltaker1059,gjennomføring92,Landegruppe3,2023-04-20,2023-05-24
deltaker1060,gjennomføring173,S.Bestemt,2016-01-24,2016-08-11
deltaker1061,gjennomføring34,S.Tilpasset,2025-07-08,2026-02-05
deltaker1062,gjennomføring9,S.Tilpasset,2025-01-26,2025-03-30
deltaker1063,gjennomføring47,S.Tilpasset,2011-06-27,2013-11-20
deltaker1064,gjennomføring189,S.Tilpasset,2017-03-26,2017-07-14
deltaker1065,gjennomføring162,S.Bestemt,2022-04-15,2022-09-27
deltaker1066,gjennomføring81,Landegruppe3,2017-07-01,2017-08-25
deltaker1067,gjennomføring102,S.Bestemt,2015-01-29,2016-11-28
deltaker1068,gjennomføring21,S.Tilpasset,2018-07-26,2018-07-27
deltaker1069,gjennomføring55,Landegruppe3,2014-06-25,2015-10-10
deltaker1070,gjennomføring138,Landegruppe3,2014-03-29,2014-08-05
deltaker1071,gjennomføring91,S.Bestemt,2012-05-07,2012-08-20
deltaker1072,gjennomføring51,Landegruppe3,2014-08-12,2014-08-13
deltaker1073,gjennomføring5,S.Bestemt,2022-07-05,2023-08-09
deltaker1074,gjennomføring38,S.Tilpasset,2014-07-21,2020-07-11
deltaker1075,gjennomføring26,Landegruppe3,2019-03-19,2019-03-22
deltaker1076,gjennomføring110,S.Tilpasset,2022-12-15,2023-01-05
deltaker1077,gjennomføring48,Landegruppe3,2015-09-25,2017-05-03
deltaker1078,gjennomføring7,Landegruppe3,2025-08-29,2025-09-18
deltaker1079,gjennomføring13,Landegruppe3,2019-11-26,2019-11-27
deltaker1080,gjennomføring54,S.Bestemt,2013-08-28,2014-06-26
deltaker1081,gjennomføring34,S.Tilpasset,2020-10-31,2025-05-03
deltaker1082,gjennomføring44,Landegruppe3,2026-01-02,2026-04-26
deltaker1083,gjennomføring68,S.Tilpasset,2024-10-18,2025-09-16
deltaker1084,gjennomføring159,S.Tilpasset,2025-01-05,2025-03-12
deltaker1085,gjennomføring32,S.Tilpasset,2022-12-04,2023-12-08
deltaker1086,gjennomføring100,Landegruppe3,2026-01-20,2026-01-30
deltaker1087,gjennomføring171,S.Bestemt,2024-10-08,2026-08-05
deltaker1088,gjennomføring145,S.Bestemt,2014-08-26,2015-06-16
deltaker1089,gjennomføring62,S.Bestemt,2018-05-20,2018-12-09
deltaker1090,gjennomføring48,S.Tilpasset,2017-10-24,2017-12-05
deltaker1091,gjennomføring12,S.Bestemt,2025-07-26,2025-07-27
deltaker1092,gjennomføring72,Landegruppe3,2022-07-12,2022-08-26
deltaker1093,gjennomføring115,S.Tilpasset,2025-10-08,2026-01-27
deltaker1094,gjennomføring53,S.Bestemt,2020-05-15,2020-05-26
deltaker1095,gjennomføring127,S.Tilpasset,2021-04-02,2021-05-03
deltaker1096,gjennomføring143,S.Tilpasset,2024-06-26,2024-09-24
deltaker1097,gjennomføring185,Landegruppe3,2014-01-07,2014-08-24
deltaker1098,gjennomføring138,S.Tilpasset,2014-04-30,2015-01-04
deltaker1099,gjennomføring132,S.Tilpasset,2022-12-21,2024-01-06
deltaker1100,gjennomføring97,S.Bestemt,2011-08-05,2011-10-24
deltaker1101,gjennomføring36,Landegruppe3,2023-09-03,2026-04-10
deltaker1102,gjennomføring102,Landegruppe3,2021-01-11,2023-12-02
deltaker1103,gjennomføring140,S.Bestemt,2021-09-02,2022-11-22
deltaker1104,gjennomføring59,S.Tilpasset,2020-07-01,2023-05-14
deltaker1105,gjennomføring113,S.Bestemt,2012-12-29,2013-07-06
deltaker1106,gjennomføring187,S.Bestemt,2015-12-12,2017-01-07
deltaker1107,gjennomføring68,S.Bestemt,2025-03-08,2025-07-05
deltaker1108,gjennomføring87,Landegruppe3,2024-05-02,2025-03-19
deltaker1109,gjennomføring134,Landegruppe3,2025-10-25,2025-12-20
deltaker1110,gjennomføring120,S.Tilpasset,2021-08-28,2021-10-27
deltaker1111,gjennomføring105,Landegruppe3,2012-05-22,2014-10-17
deltaker1112,gjennomføring130,Landegruppe3,2021-10-23,2022-05-14
deltaker1113,gjennomføring73,Landegruppe3,2018-06-20,2020-05-16
deltaker1114,gjennomføring31,S.Bestemt,2017-11-09,2024-11-06
deltaker1115,gjennomføring111,S.Tilpasset,2010-05-04,2010-05-22
deltaker1116,gjennomføring194,Landegruppe3,2016-12-06,2016-12-30
deltaker1117,gjennomføring161,S.Bestemt,2026-09-23,2026-10-13
deltaker1118,gjennomføring53,S.Bestemt,2018-10-27,2019-07-19
deltaker1119,gjennomføring66,Landegruppe3,2024-04-17,2024-11-30
deltaker1120,gjennomføring142,S.Tilpasset,2020-01-15,2021-01-31
deltaker1121,gjennomføring117,S.Tilpasset,2020-10-12,2024-01-12
deltaker1122,gjennomføring78,S.Tilpasset,2023-03-25,2024-01-26
